From Station,To Station,Fare
Thyagaraya College,WimcoNagar Depot,24
Thyagaraya College,Ekkattuthangal,32
Thyagaraya College,Ashok Nagar,40
Thyagaraya College,Vadapalani,32
Thyagaraya College,Arumbakkam,32
Thyagaraya College,CMBT Metro,32
Thyagaraya College,Koyambedu,32
Thyagaraya College,Thirumangalam,32
Thyagaraya College,Anna Nagar Tower,32
Thyagaraya College,Anna Nagar East,24
Thyagaraya College,Shenoy Nagar,24
Thyagaraya College,Pachaiyappas College,24
Thyagaraya College,Kilpauk,24
Thyagaraya College,Nehru Park,24
Thyagaraya College,Egmore,24
Thyagaraya College,St. Thomas Mount,32

Tondiarpet,Airport,40
Tondiarpet,Meenambakkam,40
Tondiarpet,Nanganallur Road,32
Tondiarpet,Alandur Metro,32
Tondiarpet,Guindy,32
Tondiarpet,Little Mount,32
Tondiarpet,Saidapet,32
Tondiarpet,Nandanam,32
Tondiarpet,Teynampet,32
Tondiarpet,AG-DMS,24
Tondiarpet,Thousand Lights,24
Tondiarpet,LIC,24
Tondiarpet,Government Estate,24
Tondiarpet,Central Metro,24
Tondiarpet,High Court,16
Tondiarpet,Mannadi,16
Tondiarpet,Washermenpet,8
Tondiarpet,Thyagaraya College,8
Tondiarpet,Tondiarpet,0
Tondiarpet,New Washermen pet,8
Tondiarpet,Toll Gate,16
Tondiarpet,Kaladipet,16
Tondiarpet,Thiruvotriyur Theredi,16
Tondiarpet,Thiruvotriyur,24
Tondiarpet,WimcoNagar,24
Tondiarpet,WimcoNagar Depot,24
Tondiarpet,Ekkattuthangal,32
Tondiarpet,Ashok Nagar,40
Tondiarpet,Vadapalani,32
Tondiarpet,Arumbakkam,32
Tondiarpet,CMBT Metro,32
Tondiarpet,Koyambedu,32
Tondiarpet,Thirumangalam,32
Tondiarpet,Anna Nagar Tower,32
Tondiarpet,Anna Nagar East,32
Tondiarpet,Shenoy Nagar,24
Tondiarpet,Pachaiyappas College,24
Tondiarpet,Kilpauk,24
Tondiarpet,Nehru Park,24
Tondiarpet,Egmore,24
Tondiarpet,St. Thomas Mount,32

New Washermen pet,Airport,40
New Washermen pet,Meenambakkam,40
New Washermen pet,Nanganallur Road,40
New Washermen pet,Alandur Metro,32
New Washermen pet,Guindy,32
New Washermen pet,Little Mount,32
New Washermen pet,Saidapet,32
New Washermen pet,Nandanam,32
New Washermen pet,Teynampet,32
New Washermen pet,AG-DMS,32
New Washermen pet,Thousand Lights,24
New Washermen pet,LIC,24
New Washermen pet,Government Estate,24
New Washermen pet,Central Metro,24
New Washermen pet,High Court,24
New Washermen pet,Mannadi,16
New Washermen pet,Washermenpet,16
New Washermen pet,Thyagaraya College,8
New Washermen pet,Tondiarpet,8
New Washermen pet,New Washermen pet,0
New Washermen pet,Toll Gate,8
New Washermen pet,Kaladipet,8
New Washermen pet,Thiruvotriyur Theredi,16
New Washermen pet,Thiruvotriyur,16
New Washermen pet,WimcoNagar,24
New Washermen pet,WimcoNagar Depot,24
New Washermen pet,Ekkattuthangal,40
New Washermen pet,Ashok Nagar,40
New Washermen pet,Vadapalani,40
New Washermen pet,Arumbakkam,32
New Washermen pet,CMBT Metro,32
New Washermen pet,Koyambedu,32
New Washermen pet,Thirumangalam,32
New Washermen pet,Anna Nagar Tower,32
New Washermen pet,Anna Nagar East,32
New Washermen pet,Shenoy Nagar,32
New Washermen pet,Pachaiyappas College,24
New Washermen pet,Kilpauk,24
New Washermen pet,Nehru Park,24
New Washermen pet,Egmore,24
New Washermen pet,St. Thomas Mount,40

Toll Gate,Airport,40
Toll Gate,Meenambakkam,40
Toll Gate,Nanganallur Road,40
Toll Gate,Alandur Metro,40
Toll Gate,Guindy,32
Toll Gate,Little Mount,32
Toll Gate,Saidapet,32
Toll Gate,Nandanam,32
Toll Gate,Teynampet,32
Toll Gate,AG-DMS,32
Toll Gate,Thousand Lights,32
Toll Gate,LIC,24
Toll Gate,Government Estate,24
Toll Gate,Central Metro,24
Toll Gate,High Court,24
Toll Gate,Mannadi,24
Toll Gate,Washermenpet,16
Toll Gate,Thyagaraya College,16
Toll Gate,Tondiarpet,16
Toll Gate,New Washermen pet,8
Toll Gate,Toll Gate,0
Toll Gate,Kaladipet,8
Toll Gate,Thiruvotriyur Theredi,8
Toll Gate,Thiruvotriyur,16
Toll Gate,WimcoNagar,16
Toll Gate,WimcoNagar Depot,16
Toll Gate,Ekkattuthangal,40
Toll Gate,Ashok Nagar,40
Toll Gate,Vadapalani,40
Toll Gate,Arumbakkam,40
Toll Gate,CMBT Metro,32
Toll Gate,Koyambedu,32
Toll Gate,Thirumangalam,32
Toll Gate,Anna Nagar Tower,32
Toll Gate,Anna Nagar East,32
Toll Gate,Shenoy Nagar,32
Toll Gate,Pachaiyappas College,32
Toll Gate,Kilpauk,24
Toll Gate,Nehru Park,24
Toll Gate,Egmore,24
Toll Gate,St. Thomas Mount,40

Kaladipet,Airport,40
Kaladipet,Meenambakkam,40
Kaladipet,Nanganallur Road,40
Kaladipet,Alandur Metro,40
Kaladipet,Guindy,32
Kaladipet,Little Mount,32
Kaladipet,Saidapet,32
